"","VE_COU","VE_REF","SI_LATI","SI_LONG","SI_DATE","SI_TIME","SI_SP","SI_HE","SI_DATIM","HL_ID"
"44","Atlantis","10",51.4801729381231,3.58132400100967,"NA                 ","NA                 ",6,317.579820101462,NA,7
"59","Atlantis","10",51.507043588043,3.54186552427335,"NA                 ","NA                 ",6,307.650388859212,NA,7
"68","Atlantis","10",51.5270135459673,3.50024513842088,"NA                 ","NA                 ",6,302.477715386282,NA,7
"76","Atlantis","10",51.5471907891991,3.44924331781578,"NA                 ","NA                 ",6,299.098366312378,NA,7
"82","Atlantis","10",51.5638238481176,3.40113949379055,"NA                 ","NA                 ",6,296.863347682025,NA,7
"87","Atlantis","10",51.5786678270778,3.3539519486754,"NA                 ","NA                 ",6,295.094060520936,NA,7
"92","Atlantis","10",51.5944061968316,3.29981131046736,"NA                 ","NA                 ",6,293.679407380722,NA,7
"96","Atlantis","10",51.6076412740127,3.25117907496127,"NA                 ","NA                 ",6,292.545898884969,NA,7
"5","Atlantis","10",51.6344973628352,3.14544849597458,"NA                 ","NA                 ",7,291.930135253937,NA,8
"9","Atlantis","10",51.6455458983961,3.10119072029649,"NA                 ","NA                 ",7,291.907498513654,NA,8
"14","Atlantis","10",51.6567612754601,3.05620160046936,"NA                 ","NA                 ",7,292.007110865511,NA,8
"21","Atlantis","10",51.6681151650798,3.01087316183413,"NA                 ","NA                 ",7,297.825821209489,NA,8
"45","Atlantis","10",51.6784377903751,2.97932010622738,"NA                 ","NA                 ",7,102.246164199678,NA,8
"61","Atlantis","10",51.671834355703,3.02830139870105,"NA                 ","NA                 ",7,99.7317450294168,NA,8
"73","Atlantis","10",51.6662618553922,3.08057850689918,"NA                 ","NA                 ",7,93.7121985543716,NA,8
"84","Atlantis","10",51.6643349972901,3.12821903104384,"NA                 ","NA                 ",7,73.5256970506064,NA,8
"7","Atlantis","10",51.6792633050023,3.18703813659989,"NA                 ","NA                 ",2,55.6825565550446,NA,9
"141","Atlantis","10",51.6844818024859,3.19937052431885,"NA                 ","NA                 ",2,65.1606368359359,NA,9
"211","Atlantis","10",51.6879649460299,3.21151030715707,"NA                 ","NA                 ",2,75.3860212180585,NA,9
"30","Atlantis","10",51.6903512637361,3.2262795383551,"NA                 ","NA                 ",2,86.3329227519476,NA,9
"40","Atlantis","10",51.6909254133314,3.24075332708715,"NA                 ","NA                 ",2,97.7765848380197,NA,9
"53","Atlantis","10",51.6897255875378,3.25491549707973,"NA                 ","NA                 ",2,157.843442463725,NA,9
"83","Atlantis","10",51.6880124665357,3.25604075301636,"NA                 ","NA                 ",2,288.48702378797,NA,9
"93","Atlantis","10",51.6906997678377,3.24307156711292,"NA                 ","NA                 ",2,292.687336334909,NA,9
"12","Atlantis","10",51.7026753800999,3.20186085596824,"NA                 ","NA                 ",4,298.489933356938,NA,10
"23","Atlantis","10",51.712425434355,3.17285631303373,"NA                 ","NA                 ",4,298.017653892753,NA,10
"34","Atlantis","10",51.7216241488096,3.1449400759293,"NA                 ","NA                 ",4,293.632873965216,NA,10
"476","Atlantis","10",51.7291187985766,3.11727499019433,"NA                 ","NA                 ",4,240.050076551497,NA,10
"72","Atlantis","10",51.7218868286621,3.09701855808414,"NA                 ","NA                 ",4,156.665517408791,NA,10
"831","Atlantis","10",51.7049455005677,3.10881102342792,"NA                 ","NA                 ",4,148.895719353132,NA,10
"90","Atlantis","10",51.6884640914905,3.12485013976496,"NA                 ","NA                 ",4,145.991459388113,NA,10
"961","Atlantis","10",51.6703512649036,3.14455405260719,"NA                 ","NA                 ",4,144.481408221284,NA,10
"71","Atlantis","10",51.636118826171,3.18654591545532,"NA                 ","NA                 ",6.5,134.624075149241,NA,11
"15","Atlantis","10",51.6176582604411,3.21666400502882,"NA                 ","NA                 ",6.5,122.074643518618,NA,11
"26","Atlantis","10",51.60486160824,3.24952984600151,"NA                 ","NA                 ",6.5,65.8047920659282,NA,11
"546","Atlantis","10",51.6125608795955,3.27713589525904,"NA                 ","NA                 ",6.5,298.849518620603,NA,11
"721","Atlantis","10",51.6246059582413,3.24190021367582,"NA                 ","NA                 ",6.5,272.949354759086,NA,11
"821","Atlantis","10",51.6259093572166,3.20092591489644,"NA                 ","NA                 ",6.5,261.852548082096,NA,11
"89","Atlantis","10",51.6224630772922,3.16222441669604,"NA                 ","NA                 ",6.5,254.96376832094,NA,11
"95","Atlantis","10",51.6157611623899,3.12208590279149,"NA                 ","NA                 ",6.5,250.016420755288,NA,11
"8","Atlantis","10",51.5558173542626,2.94905627284677,"NA                 ","NA                 ",6.5,230.314639693738,NA,13
"151","Atlantis","10",51.5367531236584,2.91213107529111,"NA                 ","NA                 ",6.5,231.851866750858,NA,13
"226","Atlantis","10",51.5199358174867,2.87773220203195,"NA                 ","NA                 ",6.5,233.737310880219,NA,13
"316","Atlantis","10",51.5019518064606,2.83836320821451,"NA                 ","NA                 ",6.5,236.867860403308,NA,13
"43","Atlantis","10",51.4850572268304,2.79681437554208,"NA                 ","NA                 ",6.5,269.038445915141,NA,13
"731","Atlantis","10",51.4847727667176,2.7698925723191,"NA                 ","NA                 ",6.5,43.6309077448594,NA,13
"86","Atlantis","10",51.5063865005802,2.80300352994433,"NA                 ","NA                 ",6.5,47.8665688050339,NA,13
"94","Atlantis","10",51.5270908895428,2.83980125394159,"NA                 ","NA                 ",6.5,49.4563110507621,NA,13
"6","Atlantis","10",51.5617773741094,2.90873400675969,"NA                 ","NA                 ",7,60.9921094166979,NA,14
"13","Atlantis","10",51.5756288875948,2.94894934242562,"NA                 ","NA                 ",7,74.0137973616934,NA,14
"212","Atlantis","10",51.58252975176,2.98775028681977,"NA                 ","NA                 ",7,94.7732234847981,NA,14
"32","Atlantis","10",51.5803933011356,3.02878564388985,"NA                 ","NA                 ",7,125.922166488295,NA,14
"477","Atlantis","10",51.5653696599212,3.06213541102408,"NA                 ","NA                 ",7,187.546034670719,NA,14
"74","Atlantis","10",51.5465477178351,3.0581260548296,"NA                 ","NA                 ",7,309.056611510952,NA,14
"871","Atlantis","10",51.5619231249431,3.02763777496138,"NA                 ","NA                 ",7,323.354967465678,NA,14
"951","Atlantis","10",51.5851077847022,2.99987704110266,"NA                 ","NA                 ",7,328.449447403332,NA,14
"75","Atlantis","10",51.6303988845848,2.95393662582827,"NA                 ","NA                 ",6.5,319.094103764917,NA,15
"142","Atlantis","10",51.6488526500634,2.92816474361454,"NA                 ","NA                 ",6.5,294.423423829791,NA,15
"28","Atlantis","10",51.6598437815857,2.88912455288068,"NA                 ","NA                 ",6.5,215.773871956705,NA,15
"46","Atlantis","10",51.6400178095173,2.86610880136074,"NA                 ","NA                 ",6.5,172.367013204798,NA,15
"60","Atlantis","10",51.6136143517696,2.87180710568054,"NA                 ","NA                 ",6.5,143.174395572326,NA,15
"732","Atlantis","10",51.5923165160734,2.89747390010666,"NA                 ","NA                 ",6.5,107.131510006385,NA,15
"85","Atlantis","10",51.5841679679655,2.93997815873451,"NA                 ","NA                 ",6.5,77.8343992972692,NA,15
"941","Atlantis","10",51.5901192745179,2.98447500907465,"NA                 ","NA                 ",6.5,62.6859234308714,NA,15
"81","Atlantis","10",51.6170540755326,3.06134204160413,"NA                 ","NA                 ",6.5,60.8154332738033,NA,16
"17","Atlantis","10",51.6311786490415,3.10210361653911,"NA                 ","NA                 ",6.5,66.3560652033527,NA,16
"35","Atlantis","10",51.6427241588264,3.1446279349412,"NA                 ","NA                 ",6.5,232.701137570912,NA,16
"63","Atlantis","10",51.6269957711017,3.11137751265542,"NA                 ","NA                 ",6.5,243.530243236908,NA,16
"733","Atlantis","10",51.6146176466485,3.07136469631603,"NA                 ","NA                 ",6.5,246.58324358565,NA,16
"822","Atlantis","10",51.6016352870869,3.02313998234658,"NA                 ","NA                 ",6.5,248.765930188259,NA,16
"88","Atlantis","10",51.5923469211521,2.98468781950761,"NA                 ","NA                 ",6.5,250.482429930731,NA,16
"942","Atlantis","10",51.5827776058793,2.94127820094434,"NA                 ","NA                 ",6.5,252.183140979438,NA,16
"77","Atlantis","10",51.5656217393729,2.8520364287813,"NA                 ","NA                 ",7,273.220492575541,NA,17
"281","Atlantis","10",51.5662639845284,2.83363302437281,"NA                 ","NA                 ",7,67.227342558316,NA,17
"396","Atlantis","10",51.5773835947189,2.87628487710894,"NA                 ","NA                 ",7,68.9643770334318,NA,17
"478","Atlantis","10",51.5874406054005,2.91840555130997,"NA                 ","NA                 ",7,69.8765209481903,NA,17
"547","Atlantis","10",51.5963951494415,2.95777530472053,"NA                 ","NA                 ",7,70.8519395456699,NA,17
"626","Atlantis","10",51.6055862025497,3.00043160607566,"NA                 ","NA                 ",7,72.9716853834235,NA,17
"734","Atlantis","10",51.6140069116365,3.04475283010871,"NA                 ","NA                 ",7,219.033326753342,NA,17
"943","Atlantis","10",51.6046473468196,3.03253591933,"NA                 ","NA                 ",7,244.257660531301,NA,17
"78","Atlantis","10",51.5789479910796,2.95253474888816,"NA                 ","NA                 ",7,230.960931195187,NA,18
"143","Atlantis","10",51.5621321456373,2.91918710379016,"NA                 ","NA                 ",7,213.619130171772,NA,18
"231","Atlantis","10",51.5410183236549,2.8966183781533,"NA                 ","NA                 ",7,180.916772705995,NA,18
"37","Atlantis","10",51.5122034515242,2.89587747831734,"NA                 ","NA                 ",7,140.882436692577,NA,18
"52","Atlantis","10",51.4917289062084,2.92261442877787,"NA                 ","NA                 ",7,90.6225371805211,NA,18
"722","Atlantis","10",51.4914462036429,2.96335793916715,"NA                 ","NA                 ",7,7.49828072794611,NA,18
"861","Atlantis","10",51.5166123883782,2.96868094100854,"NA                 ","NA                 ",7,341.487233116472,NA,18
"944","Atlantis","10",51.5425875616167,2.95469568992458,"NA                 ","NA                 ",7,332.759916739484,NA,18
