currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,A,DEA3	200.73 	197.79 	192.32 	177.55 	174.37 	167.47 	162.30 	151.80 	151.91 	152.26 	145.99 	143.20 	141.00 	142.05 
MIO_EUR,A,DEA4	117.62 	112.14 	108.11 	99.79 	97.77 	94.05 	93.35 	86.96 	86.00 	87.21 	84.49 	85.48 	86.41 	92.32 
MIO_EUR,A,DEA5	139.38 	137.91 	131.73 	116.66 	113.90 	114.63 	107.85 	97.05 	94.96 	96.59 	94.01 	94.63 	94.77 	100.75 
MIO_EUR,A,DEB	483.68 	455.25 	441.68 	403.47 	405.66 	386.62 	380.37 	356.20 	362.11 	379.43 	380.16 	381.49 	383.85 	422.79 
MIO_EUR,A,DEB1	95.92 	92.04 	92.91 	80.17 	83.77 	84.71 	86.01 	84.14 	92.54 	102.16 	109.88 	116.04 	115.14 	128.99 
MIO_EUR,A,DEB2	50.22 	46.86 	45.68 	39.07 	42.15 	47.02 	48.23 	46.04 	51.33 	56.89 	57.17 	55.88 	57.35 	64.55 
MIO_EUR,A,DEB3	337.54 	316.35 	303.08 	284.23 	279.74 	254.90 	246.14 	226.02 	218.23 	220.38 	213.10 	209.58 	211.36 	229.25 
MIO_EUR,A,DEC	27.00 	26.72 	26.04 	22.42 	22.33 	20.86 	20.88 	22.74 	22.99 	24.41 	23.61 	23.77 	24.76 	26.95 
MIO_EUR,A,DEC0	27.00 	26.72 	26.04 	22.42 	22.33 	20.86 	20.88 	22.74 	22.99 	24.41 	23.61 	23.77 	24.76 	26.95 
MIO_EUR,A,DED	567.26 	554.69 	544.63 	517.58 	518.42 	528.85 	523.24 	512.33 	522.76 	561.61 	581.25 	590.76 	629.00 	690.30 
MIO_EUR,A,DED2	226.65 	220.21 	214.74 	205.73 	207.68 	212.01 	209.00 	202.68 	203.50 	213.98 	224.07 	229.47 	253.12 	284.03 
MIO_EUR,A,DED4	214.72 	210.02 	205.95 	192.32 	194.12 	199.61 	197.29 	194.61 	205.04 	228.30 	236.55 	239.78 	249.84 	275.52 
MIO_EUR,A,DED5	125.88 	124.46 	123.94 	119.52 	116.62 	117.23 	116.95 	115.05 	114.23 	119.33 	120.63 	121.50 	126.04 	130.76 
MIO_EUR,A,DEE	484.42 	465.81 	452.68 	435.52 	433.44 	435.48 	422.55 	419.36 	442.32 	478.87 	484.53 	488.40 	501.50 	541.42 
MIO_EUR,A,DEE0	484.42 	465.81 	452.68 	435.52 	433.44 	435.48 	422.55 	419.36 	442.32 	478.87 	484.53 	488.40 	501.50 	541.42 
MIO_EUR,A,DEF	375.37 	356.34 	338.61 	308.36 	300.99 	288.57 	276.51 	262.09 	259.65 	268.18 	263.78 	267.02 	270.82 	285.09 
MIO_EUR,A,DEF0	375.37 	356.34 	338.61 	308.36 	300.99 	288.57 	276.51 	262.09 	259.65 	268.18 	263.78 	267.02 	270.82 	285.09 
MIO_EUR,A,DEG	458.24 	461.42 	421.79 	403.93 	400.36 	407.48 	397.47 	383.67 	386.64 	417.11 	433.92 	459.57 	477.27 	520.63 
MIO_EUR,A,DEG0	458.24 	461.42 	421.79 	403.93 	400.36 	407.48 	397.47 	383.67 	386.64 	417.11 	433.92 	459.57 	477.27 	520.63 
MIO_EUR,A,DK	1277.97 	1215.39 	1194.94 	1178.41 	1100.16 	1094.82 	1021.80 	975.18 	978.02 	970.31 	960.47 	947.58 	911.42 	890.42 
MIO_EUR,A,DK0	1277.97 	1215.39 	1194.94 	1178.41 	1100.16 	1094.82 	1021.80 	975.18 	978.02 	970.31 	960.47 	947.58 	911.42 	890.42 
MIO_EUR,A,DK01	61.41 	58.04 	57.98 	59.75 	60.30 	60.76 	57.18 	54.03 	54.75 	55.38 	56.93 	56.52 	59.04 	58.23 
MIO_EUR,A,DK02	188.66 	178.94 	177.84 	176.84 	171.63 	169.13 	158.24 	155.78 	157.28 	154.84 	152.88 	151.94 	144.52 	141.27 
